kode_rekening,pos_beban,sumber_pos_beban,penjelasan_pos_beban,tanggal, nilai_beban 
8.1.01,Pendapatan-LO,Pendapatan Asli Daerah-LO,Pendapatan Pajak Daerah - LO,2017-12-31, - 
8.1.02,Pendapatan-LO,Pendapatan Asli Daerah-LO,Pendapatan Retribusi Daerah - LO,2017-12-31, - 
8.2.1,Pendapatan-LO,Dana Perimbangan-LO,Dana Bagi Hasil Pajak/Bagi Hasil Bukan Pajak - LO,2017-12-31, - 
8.3.1,Pendapatan-LO,Lain-lain Pendapatan Daerah yang Sah - LO,Pendapatan Hibah - LO,2017-12-31, - 
9.1.01,Beban,Beban Operasi,Beban Pegawai,2017-12-31,6.94962E+11
9.1.02,Beban,Beban Operasi,Beban Persediaan,2017-12-31,785359383
9.1.03,Beban,Beban Operasi,Beban Barang,2017-12-31,2823896700
9.1.04,Beban,Beban Operasi,Beban Jasa,2017-12-31,125461793
9.1.05,Beban,Beban Operasi,Beban Pemeliharaan,2017-12-31,124391686
9.1.06,Beban,Beban Operasi,Beban Perjalanan Dinas,2017-12-31, - 
9.1.07,Beban,Beban Operasi,Beban Bunga,2017-12-31, - 
9.1.08,Beban,Beban Operasi,Beban Subsidi,2017-12-31, - 
9.1.09,Beban,Beban Operasi,Beban Hibah,2017-12-31, - 
9.1.10,Beban,Beban Operasi,Beban Bantuan Sosial,2017-12-31, - 
9.1.12,Beban,Beban Operasi,Beban Penyusutan dan Amortisasi,2017-12-31,3792783871
9.1.11,Beban,Beban Operasi,Beban Penyisihan Piutang,2017-12-31, - 
9.1.13,Beban,Beban Operasi,Beban Lain-lain,2017-12-31, - 
9.2,Beban,Beban Transfer,Beban Transfer,2017-12-31, - 
8.4.01,Surpuls/Defisit,Surplus Non Operasional,Surplus Penjualan Aset Non Lancar,2017-12-31, - 
9.3.01,Surpuls/Defisit,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2017-12-31, - 
8.5.01,Surpuls/Defisit,Pendapatan Luar Biasa - LO,Pendapatan Luar Biasa - LO,2017-12-31, - 
9.4.01,Surpuls/Defisit,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak Terdug,2017-12-31, - 
